                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.43503,                 0.9719,                 1.1876,                0.76063,                0.62738,                0.66724,                0.57509,                0.66708,                 1.2511,                 1.1903,             0.00025131,             0.00025131,             0.00025131
                     36,                0.43767,                0.97591,                 1.1824,                0.77545,                0.64946,                0.68062,                0.59369,                0.64766,                 1.1813,                  1.165,             0.00023608,             0.00023608,             0.00023608
                     37,                0.42748,                0.95525,                 1.1762,                0.74447,                0.61331,                0.66904,                 0.5694,                0.64869,                 1.2112,                 1.1774,             0.00022086,             0.00022086,             0.00022086
                     38,                0.43059,                0.95782,                 1.1879,                0.73005,                0.66936,                0.66738,                0.57923,                0.65006,                 1.1883,                 1.1567,             0.00020563,             0.00020563,             0.00020563
                     39,                0.43829,                 0.9411,                 1.1842,                0.77022,                0.64132,                0.67357,                 0.5835,                0.66049,                 1.1468,                 1.1687,              0.0001904,              0.0001904,              0.0001904
                     40,                0.41242,                0.91516,                 1.1677,                 0.7657,                0.66042,                0.68842,                0.58652,                0.64089,                 1.1229,                 1.1488,             0.00017518,             0.00017518,             0.00017518
                     41,                0.43393,                0.94651,                 1.2585,                0.77288,                0.65281,                0.68381,                0.59895,                0.62687,                 1.1436,                 1.1427,             0.00015995,             0.00015995,             0.00015995
                     42,                0.40678,                0.83835,                 1.2323,                0.78474,                0.66658,                0.68992,                0.59906,                0.59884,                 1.1234,                 1.1249,             0.00014473,             0.00014473,             0.00014473
                     43,                0.40071,                0.81172,                 1.2292,                0.80805,                 0.6446,                0.70013,                0.60297,                0.61288,                 1.1201,                 1.1268,              0.0001295,              0.0001295,              0.0001295
                     44,                0.39711,                0.79258,                 1.2376,                0.76594,                0.68877,                0.70449,                0.61685,                0.59415,                 1.0815,                 1.1052,             0.00011427,             0.00011427,             0.00011427
                     45,                0.37341,                0.76282,                 1.2016,                0.76823,                0.67597,                0.70171,                0.61187,                0.59984,                 1.0921,                 1.1124,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     46,                0.36875,                0.73239,                 1.2098,                 0.7462,                0.69874,                0.69766,                0.61194,                0.59008,                 1.0819,                 1.0936,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     47,                0.36285,                0.71286,                   1.19,                0.76156,                0.68831,                0.69397,                0.61097,                0.58489,                 1.1111,                 1.0895,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     48,                0.35754,                0.70597,                 1.1935,                0.78671,                0.68995,                0.70717,                0.62085,                0.56498,                  1.082,                 1.0823,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     49,                0.35254,                0.70932,                  1.183,                0.80325,                0.67511,                 0.7048,                0.61808,                 0.5751,                 1.0746,                 1.0916,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     50,                 0.3403,                0.67124,                  1.191,                0.76681,                0.69711,                0.70702,                0.62389,                0.57727,                 1.0697,                 1.0887,             2.2916e-05,             2.2916e-05,             2.2916e-05
