                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.32921,                0.36681,                 1.0654,                0.92839,                0.90152,                0.94133,                0.84057,                0.53532,                0.41325,                0.98411,             0.00038405,             0.00038405,             0.00038405
                     37,                0.32833,                 0.3512,                 1.0588,                0.92179,                0.92389,                0.94467,                0.84002,                0.51773,                 0.4672,                0.95648,             0.00036905,             0.00036905,             0.00036905
                     38,                0.32839,                0.35871,                 1.0603,                0.90415,                0.89479,                0.94371,                0.83314,                0.52157,                0.43202,                0.95989,             0.00035406,             0.00035406,             0.00035406
                     39,                0.33839,                0.36466,                 1.0677,                0.93176,                0.90489,                 0.9465,                0.84728,                0.49289,                0.42389,                0.94541,             0.00033906,             0.00033906,             0.00033906
                     40,                0.31914,                0.34469,                 1.0519,                0.92998,                0.92105,                0.94435,                 0.8454,                0.49722,                0.42604,                 0.9607,             0.00032406,             0.00032406,             0.00032406
                     41,                0.32076,                0.34087,                  1.057,                0.91836,                0.92193,                0.95257,                  0.855,                 0.4961,                0.42007,                0.94002,             0.00030906,             0.00030906,             0.00030906
                     42,                0.32055,                0.34147,                 1.0614,                0.92261,                0.92287,                0.95308,                0.85197,                0.49802,                0.40664,                0.94228,             0.00029406,             0.00029406,             0.00029406
                     43,                0.31618,                0.33401,                 1.0538,                0.91528,                0.92436,                0.94505,                0.85784,                0.51179,                 0.4165,                0.95843,             0.00027906,             0.00027906,             0.00027906
                     44,                0.31031,                0.33327,                  1.047,                0.93218,                0.91082,                 0.9446,                0.84985,                0.50122,                0.43993,                0.94945,             0.00026406,             0.00026406,             0.00026406
                     45,                0.30751,                0.33119,                 1.0467,                 0.9072,                0.93434,                0.94699,                0.84763,                0.48992,                0.42856,                0.93257,             0.00024907,             0.00024907,             0.00024907
                     46,                0.31498,                0.31968,                 1.0475,                0.92547,                0.91623,                0.94162,                0.84548,                0.49708,                0.47559,                0.96372,             0.00023407,             0.00023407,             0.00023407
                     47,                0.31106,                0.31743,                 1.0487,                 0.9314,                0.91681,                0.93749,                0.84084,                0.48253,                0.43185,                0.94096,             0.00021907,             0.00021907,             0.00021907
                     48,                0.30265,                0.31578,                 1.0429,                0.91338,                0.91999,                0.94935,                0.84838,                0.50829,                0.43826,                0.95487,             0.00020407,             0.00020407,             0.00020407
                     49,                0.30103,                0.31241,                 1.0448,                0.94314,                0.91523,                0.95025,                0.85173,                0.51157,                0.42861,                0.95941,             0.00018907,             0.00018907,             0.00018907
                     50,                0.29168,                0.30348,                  1.034,                0.91892,                0.92573,                 0.9408,                0.84475,                0.50446,                0.42839,                0.95659,             0.00017407,             0.00017407,             0.00017407
                     51,                0.24766,                0.21217,                 1.0468,                0.89926,                0.94133,                0.94588,                0.84725,                0.50696,                 0.4025,                0.97241,             0.00015907,             0.00015907,             0.00015907
                     52,                0.24692,                0.19481,                 1.0463,                0.92229,                0.92147,                0.94674,                0.85166,                0.50211,                0.41892,                0.96228,             0.00014408,             0.00014408,             0.00014408
                     53,                0.23435,                0.17906,                 1.0321,                0.92139,                 0.9291,                 0.9438,                0.84942,                0.50417,                0.42766,                0.97411,             0.00012908,             0.00012908,             0.00012908
                     54,                0.23127,                0.18309,                 1.0322,                0.92146,                0.91615,                0.94606,                0.85238,                0.49638,                0.44349,                0.96534,             0.00011408,             0.00011408,             0.00011408
                     55,                0.22331,                0.16938,                 1.0276,                 0.9231,                0.91949,                0.94756,                 0.8573,                0.50455,                0.44556,                0.97918,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     56,                0.21541,                 0.1591,                  1.017,                0.92511,                0.91677,                0.94507,                0.85569,                0.49549,                0.42223,                 0.9798,             8.4083e-05,             8.4083e-05,             8.4083e-05
                     57,                0.21815,                0.15533,                 1.0157,                0.92129,                0.91228,                0.94687,                0.85928,                0.50182,                0.42757,                0.98087,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     58,                0.21617,                0.15319,                 1.0156,                 0.9315,                0.92183,                0.94496,                0.85595,                0.50653,                0.44272,                 0.9974,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     59,                0.20895,                0.15317,                 1.0109,                0.93167,                0.92001,                0.94571,                 0.8541,                0.50636,                0.43858,                0.99929,             3.9087e-05,             3.9087e-05,             3.9087e-05
                     60,                0.20569,                0.14678,                 1.0079,                0.92194,                0.91593,                0.94577,                0.85566,                0.50609,                0.43976,                0.99436,             2.4089e-05,             2.4089e-05,             2.4089e-05
